step_size,internal_size,mode,accuracy,time,nnzs,test_time,threshold,decay,regularizer
0.025000,512,GATES,91.9933,22842.5877,189297,159.9410,0.2500,0.0100,0.2100
0.025000,512,NO GATES,97.8933,18866.1193,929527,122.4520,0.2500,0.0100,0.2100
0.025000,512,GATES,92.0900,22815.4637,189522,147.1250,0.2500,0.0000,0.2100
0.025000,512,NO GATES,97.8267,18866.7347,929539,134.6210,0.2500,0.0000,0.2100
0.025000,512,GATES,92.1033,22793.1090,189709,123.9500,0.0000,0.0100,0.2100
0.025000,512,NO GATES,97.8967,18901.1897,929525,121.4860,0.0000,0.0100,0.2100
0.025000,512,GATES,92.1167,22824.2437,189824,124.4050,0.0000,0.0000,0.2100
0.025000,512,NO GATES,97.7500,18937.3697,929538,148.4350,0.0000,0.0000,0.2100
0.025000,512,GATES,92.1200,22778.3463,190094,134.2150,0.2500,0.0100,0.2100
0.025000,512,NO GATES,97.8833,18928.6813,929514,123.8350,0.2500,0.0100,0.2100
0.025000,512,GATES,91.9133,22779.0777,188930,153.6880,0.2500,0.0000,0.2100
0.025000,512,NO GATES,97.7933,18862.9717,929514,148.0960,0.2500,0.0000,0.2100
0.025000,512,GATES,92.0400,22790.7117,189944,122.3410,0.0000,0.0100,0.2100
0.025000,512,NO GATES,97.8467,18910.7350,929570,126.6670,0.0000,0.0100,0.2100
0.025000,512,GATES,91.9767,22860.9887,189822,122.1430,0.0000,0.0000,0.2100
0.025000,512,NO GATES,97.7500,18935.9360,929555,145.6020,0.0000,0.0000,0.2100
0.025000,512,GATES,91.9200,22774.3967,189915,123.9880,0.2500,0.0100,0.2100
0.025000,512,NO GATES,97.7867,18901.8247,929534,121.9470,0.2500,0.0100,0.2100
0.025000,512,GATES,92.0667,22779.5327,189771,152.2290,0.2500,0.0000,0.2100
0.025000,512,NO GATES,97.7767,18936.3590,929603,139.4230,0.2500,0.0000,0.2100
0.025000,512,GATES,91.9800,22824.0313,189518,142.0330,0.0000,0.0100,0.2100
0.025000,512,NO GATES,97.8767,18930.0900,929497,125.3720,0.0000,0.0100,0.2100
0.025000,512,GATES,92.1100,22819.2837,190324,122.1130,0.0000,0.0000,0.2100
0.025000,512,NO GATES,97.8633,18909.5597,929578,132.1940,0.0000,0.0000,0.2100
